age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
41,Yes,Travel_Rarely,2,Sales,1,2,Life Sciences,1,2,Female,3,2,Sales Executive,4,Single,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,2,Research & Development,8,1,Life Sciences,1,3,Male,2,2,Research Scientist,2,Married,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,2,Research & Development,2,2,Other,1,4,Male,2,1,Laboratory Technician,3,Single,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,2,Research & Development,3,4,Life Sciences,1,4,Female,3,1,Research Scientist,3,Married,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,2,Research & Development,2,1,Medical,1,1,Male,3,1,Laboratory Technician,2,Married,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,2,Research & Development,2,2,Life Sciences,1,4,Male,3,1,Laboratory Technician,4,Single,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,2,Research & Development,3,3,Medical,1,3,Female,4,1,Laboratory Technician,1,Married,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,2,Research & Development,24,1,Life Sciences,1,4,Male,3,1,Laboratory Technician,3,Divorced,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,2,Research & Development,23,3,Life Sciences,1,4,Male,2,3,Manufacturing Director,3,Single,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
36,No,Travel_Rarely,2,Research & Development,27,3,Medical,1,3,Male,3,2,Healthcare Representative,3,Married,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,2,Research & Development,16,3,Medical,1,1,Male,4,1,Laboratory Technician,2,Married,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,2,Research & Development,15,2,Life Sciences,1,4,Female,2,2,Laboratory Technician,3,Single,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,2,Research & Development,26,1,Life Sciences,1,1,Male,3,1,Research Scientist,3,Divorced,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,2,Research & Development,19,2,Medical,1,2,Male,3,1,Laboratory Technician,4,Divorced,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,2,Research & Development,24,3,Life Sciences,1,3,Male,2,1,Laboratory Technician,3,Single,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,2,Research & Development,21,4,Life Sciences,1,2,Female,4,3,Manufacturing Director,1,Divorced,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,2,Research & Development,5,2,Life Sciences,1,1,Male,4,1,Research Scientist,2,Divorced,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,No,Non-Travel,2,Research & Development,16,2,Medical,1,4,Male,4,1,Laboratory Technician,4,Divorced,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,2,Sales,2,4,Life Sciences,1,1,Female,2,4,Manager,4,Married,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,2,Research & Development,2,3,Life Sciences,1,4,Male,3,1,Research Scientist,4,Single,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,No,Non-Travel,2,Research & Development,11,2,Other,1,1,Female,4,2,Manufacturing Director,3,Divorced,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,2,Sales,9,4,Life Sciences,1,3,Male,2,1,Sales Representative,1,Single,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,4,Research & Development,7,4,Life Sciences,1,1,Female,3,3,Research Director,2,Single,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,4,Research & Development,15,2,Life Sciences,1,3,Male,3,1,Research Scientist,4,Single,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,4,Research & Development,6,1,Medical,1,2,Male,3,1,Research Scientist,1,Single,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
