Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,TX,77075,Older American,N/A,Phone,03/21/2017,Closed with non-monetary relief,Yes,No,2397100
04/19/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,,,"Security Credit Services, LLC",IL,60643,,,Web,04/20/2017,Closed with explanation,Yes,No,2441777
04/19/2017,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,62025,,N/A,Referral,04/20/2017,Closed with explanation,Yes,No,2441830
04/14/2017,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,90305,,N/A,Referral,04/14/2017,Closed with explanation,Yes,No,2436165
04/19/2017,Credit card,,Credit determination,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,LA,70571,,N/A,Postal mail,04/21/2017,Closed with explanation,Yes,No,2441726
04/18/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Rubin & Rothman, LLC",NY,14063,,N/A,Referral,04/19/2017,In progress,Yes,No,2440364
04/18/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"QUICKEN LOANS, INC.",FL,33772,Older American,N/A,Referral,04/19/2017,In progress,Yes,No,2441409
05/18/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NJ,08618,,N/A,Referral,05/23/2016,Closed with explanation,Yes,No,1931957
03/17/2017,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,WI,54005,,N/A,Referral,03/20/2017,Closed with explanation,Yes,No,2393048
11/18/2016,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Started the refinance of home mortgage process with cash out option on XX/XX/2016. Necessary documents were submitted by XXXX. After initial review, got good faith estimate with loan amount and closing cost. Based on this estimate, a deposit of {$350.00} was made towards appraisal. Appraisal came with lesser amount by {$5000.00}. Agreed to reduce the loan amount to that extent. However, got a revised estimate which was less by {$30000.00} and with additional closing cost towards points etc. In between got numerous revised estimates with different loan amounts and closing cost. It took more than 2 months to reach any definite closing document. Hence, want to get back the deposit of {$350.00}.",,AMERICAN NEIGHBORHOOD MORTGAGE,NJ,088XX,,Consent provided,Web,11/21/2016,Closed with monetary relief,No,No,2216206
04/15/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,,,AES/PHEAA,CA,946XX,,,Web,04/15/2017,Closed with explanation,Yes,No,2436894
04/20/2017,Money transfers,International money transfer,Fraud or scam,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",MD,208XX,,,Web,04/20/2017,Closed with explanation,Yes,No,2444452
11/17/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"PMGI, LLC",CA,92356,,N/A,Postal mail,11/18/2016,Closed with non-monetary relief,No,No,2214174
04/17/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,CA,913XX,,Other,Web,04/18/2017,Closed with explanation,Yes,No,2438698
04/22/2017,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,IL,606XX,,,Web,04/22/2017,Closed with explanation,Yes,No,2447675
04/19/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,GA,303XX,,,Web,04/19/2017,Closed with explanation,Yes,No,2442733
03/31/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92026,,Consent not provided,Web,03/31/2017,Closed with explanation,Yes,No,2411860
04/04/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98023,,N/A,Phone,04/04/2017,Closed with explanation,Yes,No,2419089
04/19/2017,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,"Navient Solutions, LLC.",PA,185XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2443388
04/18/2017,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,SC,290XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2440279
04/20/2017,Consumer Loan,Installment loan,Problems when you are unable to pay,,,,"Camelot Financial Services, Inc.",TX,78840,,,Web,04/21/2017,Closed with explanation,Yes,No,2444661
